customer_id,segment,frequency,recency_days,first_purchase_date,last_purchase_date,customer_lifetime_days,average_purchase_frequency,total_amount
1,potential,9,70,30/01/2024,23/10/2024,267,29.666666666666668,23513.176718624756
2,loyal,12,46,11/01/2024,16/11/2024,310,25.833333333333332,52487.571253628594
3,potential,9,81,09/01/2024,12/10/2024,277,30.77777777777778,11165.803624349854
4,potential,8,19,28/01/2024,13/12/2024,320,40.0,3204.4115878946277
5,potential,9,68,25/01/2024,25/10/2024,274,30.444444444444443,12723.40007370876
6,at_risk,6,81,04/02/2024,12/10/2024,251,41.833333333333336,16856.665212701802
7,potential,8,14,28/01/2024,18/12/2024,325,40.625,22108.635467817614
9,high_value,15,32,31/01/2024,30/11/2024,304,20.266666666666666,50194.43040362644
10,potential,8,78,09/03/2024,15/10/2024,220,27.5,8787.547259382027
11,loyal,12,70,11/01/2024,23/10/2024,286,23.833333333333332,46525.01650038215
12,potential,9,11,18/02/2024,21/12/2024,307,34.111111111111114,4870.4205800694335
13,new,4,35,06/01/2024,27/11/2024,326,81.5,6587.421677575814
14,high_value,23,19,05/01/2024,13/12/2024,343,14.91304347826087,85769.41365960312
15,high_value,19,44,12/01/2024,18/11/2024,311,16.36842105263158,106400.20527662484
16,potential,8,21,29/03/2024,11/12/2024,257,32.125,5747.06698979005
17,at_risk,3,287,29/01/2024,20/03/2024,51,17.0,21128.704405653214
18,high_value,18,12,28/01/2024,20/12/2024,327,18.166666666666668,69161.61639068263
19,loyal,10,56,28/01/2024,06/11/2024,283,28.3,20934.790332512785
20,loyal,15,58,03/04/2024,04/11/2024,215,14.333333333333334,39216.70333767863
22,new,3,46,18/06/2024,16/11/2024,151,50.333333333333336,4695.597683275631
23,at_risk,5,166,18/02/2024,19/07/2024,152,30.4,3134.5532794776805
24,high_value,21,15,08/01/2024,17/12/2024,344,16.38095238095238,74372.40036468259
25,at_risk,6,170,10/01/2024,15/07/2024,187,31.166666666666668,12902.466193976355
26,high_value,18,14,26/01/2024,18/12/2024,327,18.166666666666668,105597.8508313909
27,loyal,15,55,17/01/2024,07/11/2024,295,19.666666666666668,42657.4931244775
28,at_risk,3,164,10/03/2024,21/07/2024,133,44.333333333333336,5998.866422207666
29,loyal,18,13,01/01/2024,19/12/2024,353,19.61111111111111,27272.629383470878
30,at_risk,3,74,10/04/2024,19/10/2024,192,64.0,9430.06840257066
31,loyal,13,54,09/01/2024,08/11/2024,304,23.384615384615383,33445.58996739217
32,at_risk,3,88,21/01/2024,05/10/2024,258,86.0,4975.982428132224
33,potential,11,27,10/01/2024,05/12/2024,330,30.0,18634.214539282926
35,churned,2,284,20/01/2024,23/03/2024,63,31.5,2332.750418404595
36,new,3,112,29/05/2024,11/09/2024,105,35.0,3080.257555636098
38,new,4,180,03/04/2024,05/07/2024,93,23.25,12043.068083219274
40,high_value,18,16,28/01/2024,16/12/2024,323,17.944444444444443,104714.63927189294
41,churned,1,360,07/01/2024,07/01/2024,0,,5890.574501692175
42,high_value,16,3,06/01/2024,29/12/2024,358,22.375,76350.22317393063
43,new,3,78,26/01/2024,15/10/2024,263,87.66666666666667,1107.4782125259715
44,new,3,273,09/02/2024,03/04/2024,54,18.0,8678.715656177224
45,high_value,18,42,04/01/2024,20/11/2024,321,17.833333333333332,86471.48044370691
46,at_risk,3,123,04/01/2024,31/08/2024,240,80.0,1754.2720321605464
47,loyal,13,75,27/02/2024,18/10/2024,234,18.0,39839.14946214142
48,churned,1,363,04/01/2024,04/01/2024,0,,1639.4951185673656
49,at_risk,2,129,13/05/2024,25/08/2024,104,52.0,556.5493860208082
50,potential,8,60,21/03/2024,02/11/2024,226,28.25,16241.315058889604
51,potential,10,20,06/01/2024,12/12/2024,341,34.1,13800.817608231933
52,loyal,15,69,04/01/2024,24/10/2024,294,19.6,60565.90359599895
53,loyal,15,70,05/02/2024,23/10/2024,261,17.4,50660.62715109209
54,at_risk,3,160,10/02/2024,25/07/2024,166,55.333333333333336,12608.893758287706
56,potential,8,54,20/01/2024,08/11/2024,293,36.625,20192.881288701094
57,new,3,49,20/01/2024,13/11/2024,298,99.33333333333333,2532.1807970846858
59,high_value,21,15,31/01/2024,17/12/2024,321,15.285714285714286,70253.53356871601
60,churned,1,332,04/02/2024,04/02/2024,0,,58.625006509478304
61,loyal,13,57,03/01/2024,05/11/2024,307,23.615384615384617,45057.321855135146
62,new,3,26,02/10/2024,06/12/2024,65,21.666666666666668,8606.835203156414
63,potential,10,38,09/01/2024,24/11/2024,320,32.0,8545.070047932077
64,loyal,16,31,22/01/2024,01/12/2024,314,19.625,55707.80475940523
65,high_value,24,12,02/01/2024,20/12/2024,353,14.708333333333334,71361.66495286484
66,potential,9,66,04/01/2024,27/10/2024,297,33.0,10046.536809978526
67,at_risk,4,85,11/01/2024,08/10/2024,271,67.75,8603.73533411431
68,new,4,103,10/03/2024,20/09/2024,194,48.5,4703.756629410664
69,potential,10,38,14/03/2024,24/11/2024,255,25.5,12050.494036302387
70,at_risk,5,135,30/01/2024,19/08/2024,202,40.4,2462.0555903198137
71,loyal,16,24,11/02/2024,08/12/2024,301,18.8125,65725.1003887262
72,loyal,13,52,21/01/2024,10/11/2024,294,22.615384615384617,41443.023694733325
73,new,3,33,06/04/2024,29/11/2024,237,79.0,6844.522966901523
74,loyal,15,62,20/01/2024,31/10/2024,285,19.0,47443.89640373075
75,potential,10,73,08/01/2024,20/10/2024,286,28.6,11756.339486219254
76,high_value,14,16,06/02/2024,16/12/2024,314,22.428571428571427,73776.49273500932
77,new,3,113,12/04/2024,10/09/2024,151,50.333333333333336,13918.272812905203
78,loyal,16,24,28/01/2024,08/12/2024,315,19.6875,66820.99033699368
80,at_risk,3,176,08/04/2024,09/07/2024,92,30.666666666666668,3780.8156362115396
81,potential,8,50,14/01/2024,12/11/2024,303,37.875,16228.751623183014
82,at_risk,3,243,06/02/2024,03/05/2024,87,29.0,6667.713213254574
83,new,4,138,13/06/2024,16/08/2024,64,16.0,7602.532312089374
84,at_risk,2,283,16/03/2024,24/03/2024,8,4.0,3252.440604241342
85,new,3,4,12/01/2024,28/12/2024,351,117.0,7116.410992868565
87,new,4,122,12/04/2024,01/09/2024,142,35.5,8434.63415175868
88,potential,11,25,28/05/2024,07/12/2024,193,17.545454545454547,6562.594247063542
89,at_risk,3,119,17/03/2024,04/09/2024,171,57.0,1633.5945339461612
90,at_risk,3,69,18/02/2024,24/10/2024,249,83.0,2664.9221511289143
91,potential,8,8,16/02/2024,24/12/2024,312,39.0,12674.266806272819
92,potential,7,24,10/04/2024,08/12/2024,242,34.57142857142857,17492.103214502167
93,potential,10,65,09/02/2024,28/10/2024,262,26.2,14794.598420294267
94,new,3,162,21/01/2024,23/07/2024,184,61.333333333333336,11151.961397683343
95,high_value,18,44,06/01/2024,18/11/2024,317,17.61111111111111,63924.57791920612
