antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"too yumm multigrain chips peri peri â– 125g, uncle chipps spicy treat potato chips â– 100g",layâ’s indiaâ’s magic masala potato chips â– 90g,0.021877032102238795,0.024770082146696216,0.02054994492588218,0.9393387928419775,37.92231237986688,1.0,0.020008049043583817,16.076665195811703,0.9954068475794132,0.7874396135265699,0.9377980453147385,0.8844832190837265
layâ’s indiaâ’s magic masala potato chips â– 90g,"too yumm multigrain chips peri peri â– 125g, uncle chipps spicy treat potato chips â– 100g",0.024770082146696216,0.021877032102238795,0.02054994492588218,0.8296276453254755,37.92231237986688,1.0,0.020008049043583817,5.7410896842175205,0.9983597531167882,0.7874396135265699,0.8258170390981631,0.8844832190837265
"ariel matic top load detergent powder â– 3kg, surf excel matic front load detergent powder â– 2kg",genteel liquid detergent â– 1l,0.02189915022184474,0.024869613684922964,0.020642841028227145,0.9426320573679426,37.902963403866906,1.0,0.020098217622181773,16.997827385397148,0.995415594258818,0.7901286826955637,0.9411689519297565,0.8863373734011538
genteel liquid detergent â– 1l,"ariel matic top load detergent powder â– 3kg, surf excel matic front load detergent powder â– 2kg",0.024869613684922964,0.02189915022184474,0.020642841028227145,0.830042689434365,37.902963403866906,1.0,0.020098217622181773,5.754979568239444,0.9984478509650186,0.7901286826955637,0.8262374369634958,0.8863373734011538
surf excel matic front load detergent powder â– 2kg,"ariel matic top load detergent powder â– 3kg, genteel liquid detergent â– 1l",0.024794412078262756,0.021983199076347326,0.020642841028227145,0.8325602140945584,37.87256855579068,1.0,0.020097780531529705,5.84100604067882,0.9983491447620363,0.7898612051455652,0.8287966160220261,0.8857941426645445
"ariel matic top load detergent powder â– 3kg, genteel liquid detergent â– 1l",surf excel matic front load detergent powder â– 2kg,0.021983199076347326,0.024794412078262756,0.020642841028227145,0.9390280712345306,37.87256855579068,1.0,0.020097780531529705,15.994337192003528,0.9954794884396136,0.7898612051455652,0.9374778718245382,0.8857941426645445
haldiramâ’s tandoori paneer chips â– 60g,"nutraj cashew nuts whole â– 500g, layâ’s classic salted potato chips â– 52g",0.024834224693553453,0.02197435182850495,0.02065611189999071,0.8317598859992875,37.851395685780155,1.0,0.020110395909186424,5.813272619200396,0.9983747579895335,0.7898342354533153,0.8279798548072311,0.8858849757122759
"nutraj cashew nuts whole â– 500g, layâ’s classic salted potato chips â– 52g",haldiramâ’s tandoori paneer chips â– 60g,0.02197435182850495,0.024834224693553453,0.02065611189999071,0.9400100654252642,37.851395685780155,1.0,0.020110395909186424,16.2554898954187,0.9954553817084902,0.7898342354533153,0.9384823215766736,0.8858849757122759
too yumm multigrain chips peri peri â– 125g,"uncle chipps spicy treat potato chips â– 100g, layâ’s indiaâ’s magic masala potato chips â– 90g",0.024882884556686528,0.021839431298908692,0.02054994492588218,0.8258666666666666,37.81539250557018,1.0,0.02000651687808775,5.617308013214536,0.9983987835615296,0.7851770472407673,0.8219787845623683,0.8834113564242791
"uncle chipps spicy treat potato chips â– 100g, layâ’s indiaâ’s magic masala potato chips â– 90g",too yumm multigrain chips peri peri â– 125g,0.021839431298908692,0.024882884556686528,0.02054994492588218,0.9409560461818918,37.81539250557018,1.0,0.02000651687808775,16.515105313700285,0.9952923610296678,0.7851770472407673,0.9394493718928671,0.8834113564242791
